,startdate,enddate,words,topic
0,2018-01-30,2018-02-05,"['peacock', 'support', 'emot', 'unit', 'airlin', 'flight', 'anim', 'woman', 'deni', 'board']",1
1,2018-02-06,2018-02-12,"['airlin', 'passeng', 'bump', 'unit', 'rate', 'lowest', 'support', 'anim', 'emot', 'flight']",1
2,2018-04-17,2018-04-23,"['airlin', 'alaska', 'anim', 'support', 'emot', 'unit', 'airport', 'use', 'way', 'say']",1
3,2018-05-15,2018-05-21,"['support', 'anim', 'airlin', 'emot', 'polici', 'goat', 'american', 'hors', 'aa', 'new']",1
4,2018-06-05,2018-06-11,"['support', 'jetblu', 'polici', 'anim', 'hors', 'new', 'airlin', 'emot', 'make', 'broadway']",1
5,2018-06-05,2018-06-11,"['airlin', 'unit', 'support', 'jetblu', 'anim', 'board', 'restrict', 'join', 'new', 'travel']",1
6,2018-08-07,2018-08-13,"['anim', 'airlin', 'peopl', 'emot', 'airport', 'support', 'plan', 'custom', 'papa', 'expert']",1
7,2018-08-14,2018-08-20,"['airlin', 'support', 'emot', 'anim', 'southwest', 'unit', 'flight', 'allow', 'hors', 'miniatur']",1
8,2019-01-01,2019-01-07,"['unit', 'support', 'airlin', 'anim', 'emot', 'flight', 'ban', 'puppi', 'cat', 'dog']",1
9,2019-01-08,2019-01-14,"['unit', 'airlin', 'support', 'emot', 'polici', 'board', 'seat', 'anim', 'flight', 'famili']",1
10,2018-01-30,2018-02-05,"['unit', 'airlin', 'brand', 'economi', 'way', 'travel', 'class', 'qatar', 'flight', 'new']",2
11,2018-07-10,2018-07-16,"['busi', 'chase', 'ink', 'prefer', 'travel', 'point', 'way', 'bonus', 'brand', 'serco']",2
12,2018-10-02,2018-10-08,"['airlin', 'new', 'travel', 'unit', 'roundtrip', 'economi', 'passeng', 'citi', 'air', 'seat']",2
13,2018-10-09,2018-10-15,"['new', 'travel', '2018', 'support', 'octob', 'program', 'polit', 'profession', 'brand', 'screen']",2
17,2018-01-30,2018-02-05,"['airlin', 'flight', 'unit', 'peacock', 'chicago', 'new', 'zealand', 'air', 'depart', 'tell']",6
18,2018-03-27,2018-04-02,"['new', 'air', 'zealand', 'unit', 'airlin', 'flight', 'chicago', 'servic', 'nonstop', 'make']",6
19,2018-11-27,2018-12-03,"['unit', 'avianca', 'air', 'copa', 'airlin', 'new', 'partnership', 'zealand', 'welcom', 'joint']",6
20,2018-12-18,2018-12-24,"['airlin', 'unit', 'new', 'flight', 'chicago', 'fli', 'nonstop', 'york', 'air', 'offer']",6
39,2018-02-13,2018-02-19,"['engin', 'unit', 'cover', 'airlin', 'land', 'plane', 'emerg', 'apart', 'passeng', 'flight']",21
40,2018-05-22,2018-05-28,"['unit', 'airlin', 'emerg', 'nra', 'ceo', 'passeng', 'land', 'flight', 'make', 'air']",21
41,2019-03-26,2019-04-01,"['emerg', 'land', 'passeng', 'keanu', 'reev', 'make', 'strand', 'flight', 'plane', 'hospit']",21
42,2019-06-18,2019-06-24,"['passeng', 'land', 'plane', 'reev', 'flight', 'trip', 'road', 'make', 'emerg', 'keanu']",21
52,2018-02-20,2018-02-26,"['unit', 'nra', 'airlin', 'delta', 'flight', 'tie', 'compani', 'support', 'cut', 'school']",30
53,2018-02-27,2018-03-05,"['nra', 'delta', 'airlin', 'georgia', 'tie', 'need', 'tax', 'say', 'emir', 'break']",30
54,2018-02-27,2018-03-05,"['nra', 'media', 'staff', 'school', 'antinra', 'compani', 'high', 'member', 'stoneman', 'marjori']",30
55,2018-02-27,2018-03-05,"['nra', 'discount', 'fedex', 'member', 'airport', 'cut', 'compani', 'expans', 'tie', 'corpor']",30
56,2018-03-06,2018-03-12,"['airlin', 'unit', 'passeng', 'nra', 'cut', 'tie', '2018', 'houston', 'drag', 'best']",30
57,2018-04-17,2018-04-23,"['tie', 'blast', 'say', 'yeti', 'nra', 'report', 'cut', 'group', 'compani', 'gun']",30
58,2018-02-20,2018-02-26,"['nra', 'delta', 'airlin', 'boycott', 'florida', 'tie', 'cut', 'georgia', 'school', 'shoot']",31
59,2018-02-27,2018-03-05,"['nra', 'delta', 'airlin', 'georgia', 'tie', 'need', 'tax', 'say', 'emir', 'break']",31
60,2018-02-27,2018-03-05,"['florida', 'school', 'shoot', 'gun', 'new', 'half', 'dc', 'code', 'look', 'marathon']",31
61,2018-02-27,2018-03-05,"['nra', 'discount', 'fedex', 'member', 'airport', 'cut', 'compani', 'expans', 'tie', 'corpor']",31
62,2018-03-06,2018-03-12,"['airlin', 'unit', 'passeng', 'nra', 'cut', 'tie', '2018', 'houston', 'drag', 'best']",31
63,2018-04-17,2018-04-23,"['tie', 'blast', 'say', 'yeti', 'nra', 'report', 'cut', 'group', 'compani', 'gun']",31
65,2018-02-20,2018-02-26,"['nra', 'tie', 'compani', 'cut', 'unit', 'corpor', 'latest', 'sponsor', 'airlin', 'nation']",33
66,2018-02-27,2018-03-05,"['nra', 'discount', 'fedex', 'member', 'airport', 'cut', 'compani', 'expans', 'tie', 'corpor']",33
67,2018-03-06,2018-03-12,"['airlin', 'unit', 'passeng', 'nra', 'cut', 'tie', '2018', 'houston', 'drag', 'best']",33
68,2018-04-17,2018-04-23,"['tie', 'blast', 'say', 'yeti', 'nra', 'report', 'cut', 'group', 'compani', 'gun']",33
69,2018-02-20,2018-02-26,"['unit', 'airlin', 'boe', 'max', 'nra', 'delta', '737', 'discount', 'member', 'end']",34
70,2018-02-27,2018-03-05,"['nra', 'discount', 'fedex', 'member', 'airport', 'cut', 'compani', 'expans', 'tie', 'corpor']",34
71,2018-06-05,2018-06-11,"['flight', 'unit', 'delta', '737', 'max', 'dead', 'airlin', 'houston', 'boe', 'dog']",34
72,2018-07-17,2018-07-23,"['farnborough', 'better', 'game', 'boe', 'max', '737', 'pitch', 'dback', 'day', 'unit']",34
73,2018-11-06,2018-11-12,"['boe', 'airlin', 'issu', 'crash', 'max', '737', 'air', 'tourism', 'new', 'promot']",34
74,2018-11-13,2018-11-19,"['airlin', 'unit', 'air', 'pilot', 'boe', 'fli', 'group', '737', 'max', 'crash']",34
75,2019-01-15,2019-01-21,"['unit', 'airlin', 'new', 'uniform', 'boe', 'order', '737', 'flight', 'max', 'employe']",34
76,2019-03-05,2019-03-11,"['boe', 'crash', 'max', '737', 'airlin', 'ethiopian', 'plane', 'flight', 'jet', 'china']",34
77,2019-03-12,2019-03-18,"['airlin', 'unit', '737', 'max', 'boe', 'half', 'new', 'marathon', 'say', 'fli']",34
78,2019-03-12,2019-03-18,"['flight', 'airport', '737', 'boe', 'best', 'credit', 'set', 'max', 'ground', 'passeng']",34
79,2019-03-12,2019-03-18,"['boe', 'max', 'jet', 'unit', 'ground', 'grind', 'southwest', '737', 'american', 'airlin']",34
80,2019-03-12,2019-03-18,"['737', 'max', 'boe', 'report', 'pilot', 'know', 'need', 'ground', 'ethiopia', 'airlin']",34
81,2019-03-12,2019-03-18,"['737', 'boe', 'max', 'ground', 'plan', 'crash', 'jet', 'faa', 'order', 'grind']",34
82,2019-03-12,2019-03-18,"['max', '737', 'boe', 'ground', 'canada', 'ban', 'air', 'crash', 'plan', 'flight']",34
83,2019-03-19,2019-03-25,"['max', '737', 'boe', 'airlin', 'flight', 'southwest', 'crash', 'ground', 'cancel', 'review']",34
84,2019-03-26,2019-04-01,"['boe', '737', 'max', 'airlin', 'delay', 'glitch', 'major', 'hit', 'comput', 'pilot']",34
85,2019-03-26,2019-04-01,"['airlin', 'air', 'max', 'boe', '737', 'crash', 'wow', 'ground', 'flight', 'strand']",34
86,2019-04-02,2019-04-08,"['max', '737', 'boe', 'say', 'airlin', 'fix', 'faa', 'ethiopian', 'time', 'week']",34
87,2019-04-09,2019-04-15,"['airlin', '737', 'max', 'unit', 'plan', 'boe', 'travel', 'mani', 'face', 'dilemma']",34
88,2019-04-09,2019-04-15,"['boe', 'max', '737', 'flight', 'faa', 'cancel', 'ground', 'busi', 'extend', 'transport']",34
89,2019-04-16,2019-04-22,"['max', '737', 'boe', 'unit', 'airlin', 'flight', 'summer', 'cancel', 'earli', 'review']",34
90,2019-04-23,2019-04-29,"['max', '737', 'boe', 'flight', 'ground', 'airlin', 'hit', 'american', 'fli', 'new']",34
91,2019-05-07,2019-05-13,"['fee', 'economi', 'round', 'incl', 'tax', 'trip', '737', 'max', 'airlin', 'boe']",34
92,2019-05-14,2019-05-20,"['unit', 'airlin', 'new', 'tokyo', 'flight', 'safeti', 'max', 'boe', 'announc', '737']",34
93,2019-05-14,2019-05-20,"['max', 'boe', '737', 'crash', 'faa', 'jet', 'ground', 'chief', 'airlin', 'grind']",34
94,2019-05-21,2019-05-27,"['max', '737', 'airlin', 'boe', 'unit', 'flight', 'travel', 'fli', 'kill', 'ceo']",34
95,2019-05-28,2019-06-03,"['unit', 'boe', '737', 'max', 'airlin', 'engin', 'flight', 'honolulu', 'plane', 'want']",34
96,2019-06-04,2019-06-10,"['737', 'max', 'review', 'european', 'canadian', 'boe', 'new', 'ground', 'chang', 'separ']",34
97,2019-06-04,2019-06-10,"['boe', 'max', 'daili', 'challeng', 'face', 'airlin', 'schedul', '737', 'ground', 'educ']",34
98,2019-06-11,2019-06-17,"['boe', 'max', '737', 'fix', 'caus', 'upgrad', 'ground', 'readi', 'softwar', 'send']",34
99,2019-06-18,2019-06-24,"['max', 'boe', '737', 'pilot', 'american', 'carrier', 'offici', 'second', 'crash', 'assess']",34
105,2018-02-20,2018-02-26,"['emot', 'support', 'dog', 'bite', 'southwest', 'flight', 'girl', 'point', 'child', 'becom']",39
106,2018-08-14,2018-08-20,"['airlin', 'support', 'emot', 'anim', 'southwest', 'unit', 'flight', 'allow', 'hors', 'miniatur']",39
107,2019-01-01,2019-01-07,"['unit', 'support', 'airlin', 'anim', 'emot', 'flight', 'ban', 'puppi', 'cat', 'dog']",39
108,2019-02-26,2019-03-04,"['support', 'emot', 'west', 'african', 'maul', 'girl', 'airlin', 'saa', '5yearold', 'bull']",39
111,2018-02-27,2018-03-05,"['american', 'ohar', 'gate', 'airport', 'disput', 'chicago', 'aviat', 'object', '85', 'revamp']",41
112,2018-03-27,2018-04-02,"['ohar', 'citi', 'chicago', 'council', 'approv', '85', 'billion', 'expans', 'emanuel', '85b']",41
113,2018-08-14,2018-08-20,"['plan', 'airport', 'chicago', 'collid', 'grind', 'ohar', 'har', 'unit', 'injuri', 'jone']",41
126,2018-03-06,2018-03-12,"['grind', 'carbon', 'footprint', 'zinn', 'engin', 'emerg', 'emir', 'emot', 'empir', 'employ']",52
127,2018-11-13,2018-11-19,"['zealand', 'engin', 'end', 'employ', 'emot', 'emerg', 'embraer', 'elect', 'eir', 'economist']",52
128,2019-01-29,2019-02-04,"['youngest', 'famili', 'employe', 'employ', 'emot', 'emiss', 'emerg', 'elev', 'electr', 'eject']",52
130,2018-03-13,2018-03-19,"['new', 'delta', 'washington', 'air', 'airlin', 'nra', 'dc', 'time', 'obama', 'travel']",54
131,2018-05-15,2018-05-21,"['new', 'deal', 'passeng', 'air', 'assault', 'sexual', 'order', 'travel', 'daili', 'rajeev']",54
132,2018-06-12,2018-06-18,"['unit', 'flight', 'air', 'mile', 'delta', 'intern', 'new', 'cabin', 'economi', 'park']",54
133,2018-10-02,2018-10-08,"['airlin', 'new', 'travel', 'unit', 'roundtrip', 'economi', 'passeng', 'citi', 'air', 'seat']",54
134,2018-10-16,2018-10-22,"['airlin', 'unit', 'busi', 'travel', 'price', 'ticket', 'american', 'way', 'delta', 'air']",54
135,2018-12-04,2018-12-10,"['new', 'air', 'airport', 'york', 'laguardia', 'flight', 'open', 'loung', 'travel', 'nonstop']",54
136,2018-12-11,2018-12-17,"['air', 'group', 'mesa', 'line', 'new', 'delta', 'year', 'board', 'plan', 'vs']",54
137,2019-02-19,2019-02-25,"['unit', 'new', 'flight', 'airlin', 'tokyo', 'haneda', 'plan', 'washington', 'rout', 'dc']",54
138,2018-03-13,2018-03-19,"['unit', 'airlin', 'flight', 'pet', 'puppi', 'make', 'passeng', 'death', 'right', 'land']",55
139,2018-05-22,2018-05-28,"['unit', 'airlin', 'emerg', 'nra', 'ceo', 'passeng', 'land', 'flight', 'make', 'air']",55
140,2019-03-26,2019-04-01,"['emerg', 'land', 'passeng', 'keanu', 'reev', 'make', 'strand', 'flight', 'plane', 'hospit']",55
141,2019-06-18,2019-06-24,"['passeng', 'land', 'plane', 'reev', 'flight', 'trip', 'road', 'make', 'emerg', 'keanu']",55
143,2018-03-13,2018-03-19,"['unit', 'dog', 'overhead', 'flight', 'die', 'airlin', 'bin', 'attend', 'forc', 'puppi']",57
144,2018-05-01,2018-05-07,"['airlin', 'unit', 'suffoc', 'famili', 'new', 'seat', 'puppi', 'overhead', 'bin', 'consid']",57
145,2018-05-22,2018-05-28,"['airlin', 'unit', 'die', 'overhead', 'bin', 'reach', 'settlement', 'owner', 'dog', 'puppi']",57
159,2018-03-20,2018-03-26,"['flight', 'unit', '10000', 'airlin', 'voucher', 'passeng', 'bump', 'woman', 'travel', 'seat']",70
160,2018-03-27,2018-04-02,"['flight', 'unit', 'attend', 'travel', '10000', 'bump', 'passeng', 'voucher', 'fli', 'point']",70
161,2018-10-02,2018-10-08,"['airlin', 'new', 'travel', 'unit', 'roundtrip', 'economi', 'passeng', 'citi', 'air', 'seat']",70
162,2019-05-14,2019-05-20,"['airport', 'voucher', 'class', 'seat', 'airlin', 'point', 'denver', 'worth', 'passeng', '2019']",70
173,2018-04-03,2018-04-09,"['busi', 'facebook', 'april', '2018', 'pet', 'travel', 'woman', 'zuckerberg', 'head', 'capitol']",79
174,2018-04-10,2018-04-16,"['airlin', 'unit', 'new', 'boston', 'april', 'roundtrip', 'readi', '2018', 'travel', 'seat']",79
175,2018-08-21,2018-08-27,"['airlin', 'airport', 'new', 'unit', '2018', 'busi', 'realli', 'duncan', 'travel', 'hunter']",79
186,2018-04-10,2018-04-16,"['unit', 'year', 'airlin', 'economi', 'air', 'hop', 'say', 'flightwisepro', 'come', 'flight']",89
187,2018-12-25,2018-12-31,"['dream', 'peopl', 'food', 'year', 'instagram', 'sham', 'air', 'jk', 'say', 'separ']",89
188,2019-02-12,2019-02-18,"['announc', 'quarter', 'air', '2019', 'mesa', 'year', 'group', 'sorri', 'say', 'new']",89
195,2018-04-10,2018-04-16,"['unit', 'new', 'air', 'max', 'veteran', 'group', 'airlin', '787', 'stori', 'charg']",96
196,2018-11-06,2018-11-12,"['boe', 'airlin', 'issu', 'crash', 'max', '737', 'air', 'tourism', 'new', 'promot']",96
197,2018-11-13,2018-11-19,"['airlin', 'unit', 'air', 'pilot', 'boe', 'fli', 'group', '737', 'max', 'crash']",96
198,2018-12-11,2018-12-17,"['air', 'group', 'mesa', 'line', 'new', 'delta', 'year', 'board', 'plan', 'vs']",96
199,2019-02-12,2019-02-18,"['announc', 'quarter', 'air', '2019', 'mesa', 'year', 'group', 'sorri', 'say', 'new']",96
201,2018-04-17,2018-04-23,"['unit', 'airlin', 'sport', 'travel', 'nra', 'busi', 'compani', 'announc', 'award', 'launch']",98
202,2019-04-30,2019-05-06,"['unit', 'airlin', 'flight', 'new', 'help', 'announc', 'add', 'busi', 'save', 'travel']",98
203,2019-05-21,2019-05-27,"['american', 'music', 'sport', 'fee', 'equip', 'travel', 'baggag', 'video', 'busi', 'cut']",98
206,2018-04-17,2018-04-23,"['airlin', 'invest', 'reserv', 'vs', 'comparison', 'sapphir', 'card', 'credit', 'chase', 'prefer']",101
207,2019-01-15,2019-01-21,"['card', 'chase', 'travel', 'busi', 'credit', 'face', 'shutdown', 'industri', 'march', 'news']",101
208,2019-01-22,2019-01-28,"['chase', 'card', 'credit', 'earn', 'point', 'ultim', 'reward', 'unit', 'airlin', 'issu']",101
214,2018-04-17,2018-04-23,"['land', 'unit', 'flight', 'emerg', 'make', 'airlin', 'air', 'forc', 'southwest', 'fli']",105
215,2018-05-22,2018-05-28,"['unit', 'airlin', 'emerg', 'nra', 'ceo', 'passeng', 'land', 'flight', 'make', 'air']",105
216,2018-06-05,2018-06-11,"['threat', 'bomb', 'emerg', 'land', 'ireland', 'make', 'romechicago', 'irish', 'plane', 'secur']",105
217,2018-07-10,2018-07-16,"['flight', 'airlin', 'unit', 'make', 'peanut', 'southwest', 'plane', 'stop', 'serv', 'emerg']",105
218,2018-07-24,2018-07-30,"['airlin', 'unit', 'emerg', 'land', 'flight', 'dog', 'escap', 'crate', 'fund', 'make']",105
219,2018-08-21,2018-08-27,"['flight', 'unit', 'cancel', 'hurrican', 'make', 'airlin', 'land', 'emerg', 'strike', 'airport']",105
220,2019-01-01,2019-01-07,"['airlin', 'make', 'land', 'unit', 'flight', 'delta', 'plane', 'world', 'emerg', 'fall']",105
221,2019-03-26,2019-04-01,"['emerg', 'land', 'passeng', 'keanu', 'reev', 'make', 'strand', 'flight', 'plane', 'hospit']",105
222,2019-04-02,2019-04-08,"['blank', 'screen', 'cockpit', 'emerg', 'land', 'pilot', 'make', 'forc', 'midair', 'plane']",105
223,2019-06-18,2019-06-24,"['passeng', 'land', 'plane', 'reev', 'flight', 'trip', 'road', 'make', 'emerg', 'keanu']",105
233,2018-04-24,2018-04-30,"['unit', 'airlin', '2018', '737', 'max', 'faa', 'ban', 'hous', 'mileageplus', 'earn']",112
234,2019-03-12,2019-03-18,"['737', 'boe', 'max', 'ground', 'plan', 'crash', 'jet', 'faa', 'order', 'grind']",112
235,2019-03-12,2019-03-18,"['max', '737', 'boe', 'ground', 'canada', 'ban', 'air', 'crash', 'plan', 'flight']",112
236,2019-04-02,2019-04-08,"['max', '737', 'boe', 'say', 'airlin', 'fix', 'faa', 'ethiopian', 'time', 'week']",112
237,2019-04-09,2019-04-15,"['boe', 'max', '737', 'flight', 'faa', 'cancel', 'ground', 'busi', 'extend', 'transport']",112
238,2019-05-14,2019-05-20,"['max', 'boe', '737', 'crash', 'faa', 'jet', 'ground', 'chief', 'airlin', 'grind']",112
250,2018-05-01,2018-05-07,"['air', 'airport', 'video', 'canada', 'san', 'francisco', 'pilot', 'near', 'plane', 'leav']",121
251,2018-05-22,2018-05-28,"['airlin', 'flight', 'unit', 'new', 'airport', 'land', 'francisco', 'luxuri', 'san', 'sue']",121
252,2018-09-25,2018-10-01,"['airlin', 'air', 'new', 'canada', 'flight', 'pilot', 'disast', 'near', 'unit', 'fault']",121
253,2018-10-09,2018-10-15,"['air', 'canada', 'near', 'miss', 'worst', 'flight', 'histori', 'year', 'new', 'airport']",121
254,2018-10-30,2018-11-05,"['airlin', 'unit', 'servic', 'new', 'air', 'flight', 'san', 'shanghai', 'francisco', 'daili']",121
255,2018-11-06,2018-11-12,"['airport', 'flight', 'airlin', 'sit', 'delta', 'san', 'veteran', 'pilot', 'intern', 'fece']",121
256,2018-11-27,2018-12-03,"['boe', 'new', '737', 'pilot', 'laguardia', 'open', 'youtub', 'air', 'watch', 'airport']",121
257,2019-02-26,2019-03-04,"['san', 'partner', 'amazon', 'airport', 'new', 'francisco', 'market', 'star', 'face', 'flight']",121
258,2019-06-11,2019-06-17,"['flight', 'ground', 'incid', 'secur', 'check', 'firearm', 'francisco', 'hour', 'airport', 'san']",121
259,2018-05-01,2018-05-07,"['flight', 'canada', 'launch', 'air', 'daili', 'francisco', 'lufthansa', 'unit', 'san', 'drug']",122
260,2018-07-10,2018-07-16,"['airlin', 'angel', 'los', 'flight', 'singapor', 'nonstop', 'san', 'nov', 'launch', 'francisco']",122
261,2018-10-30,2018-11-05,"['airlin', 'unit', 'servic', 'new', 'air', 'flight', 'san', 'shanghai', 'francisco', 'daili']",122
262,2018-12-11,2018-12-17,"['unit', 'airlin', 'flight', 'new', 'francisco', 'announc', 'rout', 'san', 'servic', 'launch']",122
270,2018-05-08,2018-05-14,"['flight', 'passeng', 'say', 'attend', 'sexual', 'airlin', 'harass', 'support', 'seat', 'emot']",130
271,2019-01-08,2019-01-14,"['unit', 'airlin', 'support', 'emot', 'polici', 'board', 'seat', 'anim', 'flight', 'famili']",130
272,2019-01-08,2019-01-14,"['airlin', 'unit', 'flight', 'attend', 'appl', 'say', 'app', 'tip', 'passeng', 'frontier']",130
273,2018-05-08,2018-05-14,"['unit', 'flight', 'airlin', 'forc', 'passeng', 'air', 'canada', 'delay', 'carri', 'miss']",131
274,2018-07-03,2018-07-09,"['air', 'passeng', 'carri', 'substanc', 'servic', 'india', 'custom', 'powderlik', 'usbound', 'use']",131
275,2018-09-04,2018-09-10,"['airlin', 'unit', 'want', 'tahiti', 'send', 'flight', 'person', 'passeng', 'air', 'miss']",131
276,2018-10-09,2018-10-15,"['air', 'canada', 'near', 'miss', 'worst', 'flight', 'histori', 'year', 'new', 'airport']",131
287,2018-05-22,2018-05-28,"['flight', 'delta', 'airlin', 'nonstop', 'unit', 'resum', 'year', 'passeng', 'new', 'india']",141
288,2018-07-17,2018-07-23,"['unit', 'airlin', 'flight', 'passeng', 'nonstop', 'new', 'delay', 'monterey', 'denver', 'airport']",141
289,2018-12-11,2018-12-17,"['air', 'group', 'mesa', 'line', 'new', 'delta', 'year', 'board', 'plan', 'vs']",141
292,2018-05-22,2018-05-28,"['unit', 'new', 'privat', 'airlin', 'luxuri', 'flight', 'suit', 'lax', 'passeng', 'rule']",144
293,2018-07-31,2018-08-06,"['plane', 'rule', 'credit', 'card', 'design', 'passeng', 'new', 'hot', 'case', 'app']",144
294,2019-01-15,2019-01-21,"['unit', 'airport', 'polari', 'passeng', 'loung', 'new', 'lax', 'travel', 'number', 'grow']",144
295,2018-05-22,2018-05-28,"['airlin', 'credit', 'point', 'card', 'love', 'win', 'mile', 'big', 'carrier', 'exact']",145
296,2018-07-03,2018-07-09,"['roundtrip', 'san', 'use', 'mile', 'flight', 'credit', 'card', 'philadelphia', 'jose', 'book']",145
297,2018-07-10,2018-07-16,"['credit', 'unit', 'mile', 'card', 'make', 'airlin', '2018', 'free', 'plan', 'elit']",145
298,2018-10-23,2018-10-29,"['flight', 'credit', 'card', 'point', 'smuggl', 'emot', 'make', 'cat', 'travel', 'passeng']",145
299,2018-10-23,2018-10-29,"['use', 'card', 'credit', 'point', '7night', 'costa', 'southwest', 'famili', 'vacat', 'veteran']",145
300,2018-11-20,2018-11-26,"['bonus', 'airlin', 'mile', 'unit', 'card', 'earn', 'point', 'mileageplus', 'europ', 'credit']",145
301,2019-01-22,2019-01-28,"['chase', 'card', 'credit', 'earn', 'point', 'ultim', 'reward', 'unit', 'airlin', 'issu']",145
302,2019-03-26,2019-04-01,"['propos', 'unit', 'card', 'airlin', 'travel', 'credit', 'best', '2019', 'mile', 'special']",145
303,2019-05-21,2019-05-27,"['travel', 'best', 'roundtrip', 'san', 'action', 'american', 'crash', 'card', 'credit', 'mile']",145
306,2018-05-29,2018-06-04,"['dog', 'delta', 'flight', 'airlin', 'die', 'layov', 'dead', 'owner', 'line', 'air']",148
307,2018-06-05,2018-06-11,"['flight', 'unit', 'delta', '737', 'max', 'dead', 'airlin', 'houston', 'boe', 'dog']",148
308,2018-08-14,2018-08-20,"['unit', 'brand', 'airlin', 'plane', 'line', 'air', 'seat', 'economi', 'delta', 'aviat']",148
309,2018-10-23,2018-10-29,"['airlin', 'unit', 'flight', 'delta', 'air', 'return', 'passeng', 'big', 'line', 'pilot']",148
310,2018-12-11,2018-12-17,"['air', 'group', 'mesa', 'line', 'new', 'delta', 'year', 'board', 'plan', 'vs']",148
