,startdate,enddate,words,topic
311,2019-01-08,2019-01-14,"['unit', 'air', 'airlin', 'passeng', 'delta', 'traffic', 'line', 'sue', 'control', 'airport']",148
312,2018-05-29,2018-06-04,"['flight', 'open', 'unit', 'tower', '93', 'memori', 'sept', '11', 'honor', 'new']",149
313,2018-09-04,2018-09-10,"['911', 'memori', 'airlin', 'unit', 'flight', 'attack', 'open', '93', 'anniversari', 'market']",149
314,2018-09-04,2018-09-10,"['flight', 'unit', '911', 'memori', 'airlin', '93', 'hawaii', 'new', 'airport', 'upgrad']",149
315,2018-09-11,2018-09-17,"['911', 'flight', 'trump', 'memori', '93', 'unit', 'servic', 'honor', 'hero', 'airlin']",149
316,2018-09-11,2018-09-17,"['911', 'anniversari', 'attack', 'trump', '17th', 'rememb', '11', 'honor', 'sept', 'lose']",149
324,2018-05-29,2018-06-04,"['seat', 'economi', 'bad', 'say', 'fli', '72', 'delta', 'hour', 'near', 'cheap']",155
325,2018-07-24,2018-07-30,"['say', 'airplan', 'wont', 'american', 'ceo', 'seat', 'smaller', 'delta', 'airlin', 'handwrit']",155
326,2018-08-14,2018-08-20,"['unit', 'brand', 'airlin', 'plane', 'line', 'air', 'seat', 'economi', 'delta', 'aviat']",155
327,2018-08-21,2018-08-27,"['unit', 'airlin', 'seat', 'plane', 'charg', 'near', 'economi', 'lieflat', 'max', 'boe']",155
335,2018-06-12,2018-06-18,"['unit', 'airlin', 'flight', 'divert', 'class', 'busi', 'air', 'access', 'airport', 'newark']",162
336,2018-11-20,2018-11-26,"['unit', 'flight', 'airlin', 'award', 'class', 'alaska', 'mile', 'air', 'rout', 'busi']",162
337,2019-01-22,2019-01-28,"['airport', 'drone', 'newark', 'flight', 'travel', 'sight', 'halt', 'air', 'delay', 'issu']",162
338,2019-04-02,2019-04-08,"['class', 'busi', 'north', 'new', 'canada', 'air', 'america', 'american', 'advertis', 'featur']",162
339,2019-05-28,2019-06-03,"['new', 'air', 'york', 'flight', 'citi', 'fli', 'class', 'open', 'unit', 'airport']",162
345,2018-06-12,2018-06-18,"['awac', 'crash', 'serco', 'lutnick', 'air', 'boe', 'war', 'oneworld', 'mh', 'star']",167
346,2018-06-26,2018-07-02,"['serco', 'death', 'patent', 'rothschild', 'pool', 'club', 'air', 'awac', 'theater', 'spotfix']",167
347,2018-07-10,2018-07-16,"['air', 'serco', 'pool', 'awac', 'death', 'swat', 'trump', 'switch', 'rothschild', 'novichok']",167
348,2018-11-06,2018-11-12,"['boe', 'airlin', 'issu', 'crash', 'max', '737', 'air', 'tourism', 'new', 'promot']",167
349,2018-11-13,2018-11-19,"['airlin', 'unit', 'air', 'pilot', 'boe', 'fli', 'group', '737', 'max', 'crash']",167
350,2019-03-12,2019-03-18,"['max', '737', 'boe', 'ground', 'canada', 'ban', 'air', 'crash', 'plan', 'flight']",167
351,2019-03-26,2019-04-01,"['airlin', 'air', 'max', 'boe', '737', 'crash', 'wow', 'ground', 'flight', 'strand']",167
361,2018-06-19,2018-06-25,"['mile', 'unit', 'way', 'airlin', 'point', 'ultim', 'fli', 'want', 'busi', 'use']",176
362,2018-07-10,2018-07-16,"['busi', 'chase', 'ink', 'prefer', 'travel', 'point', 'way', 'bonus', 'brand', 'serco']",176
363,2018-10-09,2018-10-15,"['mile', 'unit', 'airlin', 'point', 'fli', 'media', 'way', 'best', 'job', 'dentsu']",176
364,2018-11-20,2018-11-26,"['mile', 'point', 'award', 'flight', 'airlin', 'unit', 'book', 'use', 'save', 'europ']",176
365,2018-12-04,2018-12-10,"['chase', 'ultim', 'point', 'live', 'reward', 'airport', 'war', 'busi', 'best', 'collect']",176
374,2018-06-26,2018-07-02,"['airlin', 'air', 'new', 'wisconsin', 'mainten', 'appleton', 'base', 'airport', 'support', 'intern']",184
375,2018-09-04,2018-09-10,"['unit', 'airlin', 'day', 'way', 'intern', 'new', 'say', 'passeng', 'everi', 'airport']",184
376,2018-10-09,2018-10-15,"['air', 'canada', 'near', 'miss', 'worst', 'flight', 'histori', 'year', 'new', 'airport']",184
377,2018-11-27,2018-12-03,"['boe', 'new', '737', 'pilot', 'laguardia', 'open', 'youtub', 'air', 'watch', 'airport']",184
378,2018-12-04,2018-12-10,"['new', 'air', 'airport', 'york', 'laguardia', 'flight', 'open', 'loung', 'travel', 'nonstop']",184
379,2019-03-26,2019-04-01,"['servic', 'airport', 'jet', 'new', 'air', 'unit', 'fuel', 'cite', 'push', 'propos']",184
380,2019-05-21,2019-05-27,"['airport', 'chicago', 'lightfoot', 'secur', 'mayor', 'lori', 'intern', 'boe', 'nation', 'new']",184
381,2019-05-28,2019-06-03,"['new', 'air', 'york', 'flight', 'citi', 'fli', 'class', 'open', 'unit', 'airport']",184
400,2018-07-10,2018-07-16,"['airlin', 'unit', 'embraer', 'new', 'boe', 'e175', '25', '2018', 'announc', 'order']",199
401,2018-07-17,2018-07-23,"['unit', 'airlin', 'order', 'boe', 'jet', 'dreamlin', 'embraer', 'daili', 'e175', 'roundtrip']",199
402,2018-09-25,2018-10-01,"['airlin', '7879', 'order', 'boe', 'unit', 'dreamlin', 'announc', 'student', 'rout', 'hour']",199
403,2018-10-02,2018-10-08,"['unit', 'airlin', 'dreamlin', 'order', 'boe', '787', 'new', '7879', 'bet', 'rout']",199
404,2018-11-13,2018-11-19,"['unit', 'airlin', 'boe', '78710', 'destin', 'new', 'aircraft', 'yorknewark', 'announc', 'dreamlin']",199
405,2019-01-15,2019-01-21,"['unit', 'airlin', 'new', 'uniform', 'boe', 'order', '737', 'flight', 'max', 'employe']",199
406,2019-05-14,2019-05-20,"['unit', 'airlin', 'new', 'tokyo', 'flight', 'safeti', 'max', 'boe', 'announc', '737']",199
407,2019-06-04,2019-06-10,"['unit', 'airlin', 'new', 'train', 'carrier', 'bolster', 'e175', 'embraer', 'capabl', 'express']",199
421,2018-07-24,2018-07-30,"['servic', 'comfort', 'airport', 'best', 'passeng', 'unit', 'airlin', 'provid', 'luxuri', 'access']",211
422,2018-12-18,2018-12-24,"['passeng', 'airport', '2011', 'intern', 'sinc', 'total', 'valley', 'best', 'lehigh', 'balloon']",211
423,2019-03-12,2019-03-18,"['flight', 'airport', '737', 'boe', 'best', 'credit', 'set', 'max', 'ground', 'passeng']",211
424,2018-07-24,2018-07-30,"['airlin', 'unit', 'new', 'announc', 'domest', 'network', 'washington', 'rout', 'strengthen', 'dull']",212
425,2018-12-11,2018-12-17,"['unit', 'airlin', 'flight', 'new', 'francisco', 'announc', 'rout', 'san', 'servic', 'launch']",212
426,2019-02-19,2019-02-25,"['unit', 'new', 'flight', 'airlin', 'tokyo', 'haneda', 'plan', 'washington', 'rout', 'dc']",212
454,2018-08-21,2018-08-27,"['roundtrip', 'african', 'south', 'allow', 'farmer', 'unit', 'marathon', 'los', 'vice', 'angel']",238
455,2019-03-05,2019-03-11,"['roundtrip', 'australia', '737', 'cybersecur', 'boe', 'angel', 'melbourn', 'incid', 'los', 'engin']",238
456,2019-04-16,2019-04-22,"['roundtrip', 'san', 'francisco', 'angel', 'kong', 'los', 'hong', 'japan', 'fli', 'unit']",238
459,2018-08-21,2018-08-27,"['jetblu', 'airlin', 'charg', 'unit', 'bag', 'start', 'check', '30', 'air', 'flight']",241
460,2018-08-28,2018-09-03,"['airlin', 'unit', 'fee', 'jetblu', 'rais', 'baggag', 'check', 'bag', '30', 'increas']",241
461,2018-09-18,2018-09-24,"['airlin', 'unit', 'fee', 'baggag', 'bag', 'delta', 'rais', 'check', 'air', 'flight']",241
466,2018-08-28,2018-09-03,"['unit', '2019', 'day', 'summer', 'state', 'servic', 'new', 'chicago', 'illinoi', 'airlin']",246
467,2018-10-23,2018-10-29,"['unit', 'new', 'flight', 'rout', 'chicago', 'servic', 'airlin', 'pilot', 'león', 'land']",246
468,2019-04-23,2019-04-29,"['2019', 'fulltim', 'coordin', 'cater', 'oper', 'senior', 'servic', 'retir', 'state', 'golf']",246
478,2018-09-04,2018-09-10,"['airlin', 'unit', 'fee', 'check', 'bag', 'hike', 'price', 'increas', 'travel', 'baggag']",254
479,2018-09-18,2018-09-24,"['airlin', 'unit', 'fee', 'baggag', 'bag', 'delta', 'rais', 'check', 'air', 'flight']",254
480,2018-09-18,2018-09-24,"['airlin', 'air', 'mesa', 'rais', 'fee', 'group', 'price', 'bag', 'say', 'cut']",254
481,2019-05-21,2019-05-27,"['american', 'music', 'sport', 'fee', 'equip', 'travel', 'baggag', 'video', 'busi', 'cut']",254
484,2018-09-11,2018-09-17,"['airlin', 'stock', 'group', '911', 'sell', 'mesa', 'world', 'american', 'air', 'trump']",257
485,2018-09-18,2018-09-24,"['airlin', 'air', 'mesa', 'rais', 'fee', 'group', 'price', 'bag', 'say', 'cut']",257
486,2018-09-25,2018-10-01,"['group', 'air', 'mesa', 'flight', 'plane', 'airlin', 'delta', 'work', 'woman', 'vs']",257
487,2018-11-06,2018-11-12,"['air', 'group', 'mesa', 'analyst', 'receiv', 'averag', 'expect', 'buy', '18063', 'quarter']",257
488,2018-11-27,2018-12-03,"['unit', 'airlin', 'nba', 'arrest', 'sue', 'million', 'mesa', 'player', 'group', 'air']",257
489,2018-12-04,2018-12-10,"['group', 'mesa', 'air', 'youtub', 'watch', 'industri', 'ep', 'earn', 'beat', 'result']",257
490,2018-12-11,2018-12-17,"['air', 'group', 'mesa', 'line', 'new', 'delta', 'year', 'board', 'plan', 'vs']",257
491,2018-12-25,2018-12-31,"['air', 'mesa', 'group', 'versus', 'airlin', 'analysi', 'aal', 'american', 'headtohead', 'competit']",257
492,2019-01-01,2019-01-07,"['air', 'group', 'roundtrip', 'mesa', 'busi', 'financi', '911', 'survey', 'shutdown', 'australia']",257
493,2019-02-05,2019-02-11,"['air', 'mesa', 'group', '2019', 'earn', 'china', 'test', 'result', 'use', 'ielt']",257
494,2019-02-12,2019-02-18,"['announc', 'quarter', 'air', '2019', 'mesa', 'year', 'group', 'sorri', 'say', 'new']",257
495,2019-04-09,2019-04-15,"['ipo', 'air', 'group', 'manag', 'uber', 'risk', 'mesa', 'america', 'motley', 'fool']",257
511,2018-09-18,2018-09-24,"['roundtrip', 'san', 'flight', 'francisco', 'usa', 'nonstop', 'travel', 'runway', 'west', 'trip']",271
512,2018-10-02,2018-10-08,"['airlin', 'american', 'travel', 'passeng', 'aim', 'delay', 'san', 'avoid', 'francisco', 'longer']",271
513,2019-04-16,2019-04-22,"['roundtrip', 'san', 'francisco', 'angel', 'kong', 'los', 'hong', 'japan', 'fli', 'unit']",271
514,2019-05-14,2019-05-20,"['2019', 'airlin', 'san', 'francisco', 'flight', 'travel', 'report', 'revenu', 'asset', 'new']",271
515,2019-05-21,2019-05-27,"['travel', 'best', 'roundtrip', 'san', 'action', 'american', 'crash', 'card', 'credit', 'mile']",271
521,2018-09-25,2018-10-01,"['unit', 'airlin', 'dreamlin', 'flight', '78710', 'announc', 'transcontinent', 'schedul', 'new', 'enhanc']",276
522,2018-10-30,2018-11-05,"['unit', 'airlin', 'boe', 'american', '78710', 'dreamlin', 'becom', 'flight', 'north', 'new']",276
523,2018-11-13,2018-11-19,"['unit', 'airlin', 'boe', '78710', 'destin', 'new', 'aircraft', 'yorknewark', 'announc', 'dreamlin']",276
535,2018-10-09,2018-10-15,"['airlin', 'unit', 'flight', 'new', 'add', 'travel', 'rout', 'michael', 'passeng', 'head']",286
536,2018-10-16,2018-10-22,"['unit', 'airlin', 'flight', 'new', 'earn', 'add', 'nonstop', 'world', 'q3', 'rout']",286
537,2019-01-15,2019-01-21,"['unit', 'airport', 'polari', 'passeng', 'loung', 'new', 'lax', 'travel', 'number', 'grow']",286
538,2019-02-05,2019-02-11,"['unit', 'airlin', 'new', 'seat', 'add', 'premium', 'travel', 'bombardi', 'crj550', 'face']",286
539,2019-02-12,2019-02-18,"['airlin', 'unit', 'nonbinari', 'new', 'gender', 'add', 'option', 'flight', 'passeng', 'offer']",286
540,2019-04-30,2019-05-06,"['unit', 'airlin', 'flight', 'new', 'help', 'announc', 'add', 'busi', 'save', 'travel']",286
553,2018-10-16,2018-10-22,"['zone', 'earn', 'emot', 'emiss', 'embraer', 'elit', 'elect', 'el', 'effect', 'edg']",298
554,2018-11-13,2018-11-19,"['zealand', 'engin', 'end', 'employ', 'emot', 'emerg', 'embraer', 'elect', 'eir', 'economist']",298
555,2019-03-05,2019-03-11,"['delta', 'victoriaseattl', 'zackscom', 'economist', 'emphas', 'emerg', 'embraer', 'elit', 'elect', 'elder']",298
560,2018-10-23,2018-10-29,"['airlin', 'unit', 'airport', 'worker', 'union', 'passeng', 'cater', 'vote', 'new', 'trash']",303
561,2019-01-15,2019-01-21,"['unit', 'airport', 'polari', 'passeng', 'loung', 'new', 'lax', 'travel', 'number', 'grow']",303
562,2019-03-05,2019-03-11,"['fox', 'news', 'union', 'probe', 'worker', 'airport', 'want', 'american', 'resid', 'increas']",303
564,2018-10-30,2018-11-05,"['airlin', 'air', 'mile', 'roundtrip', 'year', 'earn', 'point', 'bonus', 'best', 'rule']",305
565,2018-11-06,2018-11-12,"['airlin', 'guid', 'mile', 'unit', 'best', 'point', 'star', 'transfer', 'market', 'partner']",305
566,2018-11-20,2018-11-26,"['bonus', 'airlin', 'mile', 'unit', 'card', 'earn', 'point', 'mileageplus', 'europ', 'credit']",305
567,2019-01-01,2019-01-07,"['new', 'year', '2019', 'bonus', 'plan', 'shop', 'mile', 'beij', 'airport', 'earn']",305
568,2019-05-21,2019-05-27,"['travel', 'best', 'roundtrip', 'san', 'action', 'american', 'crash', 'card', 'credit', 'mile']",305
571,2018-10-30,2018-11-05,"['chase', 'reward', 'ultim', 'point', 'includ', 'thank', 'worth', 'flight', 'class', 'amex']",308
572,2018-11-20,2018-11-26,"['travel', 'point', 'reward', 'unit', 'airlin', 'ultim', 'big', 'american', 'chase', 'membership']",308
573,2018-12-04,2018-12-10,"['chase', 'ultim', 'point', 'live', 'reward', 'airport', 'war', 'busi', 'best', 'collect']",308
574,2018-12-11,2018-12-17,"['airlin', 'unit', 'ceo', 'chase', 'class', 'flight', 'senior', 'point', 'plane', 'frail']",308
575,2019-01-22,2019-01-28,"['chase', 'card', 'credit', 'earn', 'point', 'ultim', 'reward', 'unit', 'airlin', 'issu']",308
576,2019-05-14,2019-05-20,"['airport', 'voucher', 'class', 'seat', 'airlin', 'point', 'denver', 'worth', 'passeng', '2019']",308
577,2018-10-30,2018-11-05,"['board', 'new', 'citi', 'nonstop', 'open', 'tcs', 'york', 'airlin', 'ceremoni', 'tonight']",309
578,2018-12-04,2018-12-10,"['new', 'air', 'airport', 'york', 'laguardia', 'flight', 'open', 'loung', 'travel', 'nonstop']",309
579,2018-12-18,2018-12-24,"['airlin', 'unit', 'new', 'flight', 'chicago', 'fli', 'nonstop', 'york', 'air', 'offer']",309
580,2019-04-30,2019-05-06,"['new', 'flight', 'york', 'nonstop', 'airport', 'daili', 'airway', 'boe', 'unit', 'airlin']",309
581,2019-05-28,2019-06-03,"['new', 'air', 'york', 'flight', 'citi', 'fli', 'class', 'open', 'unit', 'airport']",309
582,2018-10-30,2018-11-05,"['airlin', 'unit', 'flight', 'drink', 'passeng', 'lawsuit', 'plane', 'airport', 'air', 'american']",310
583,2019-01-08,2019-01-14,"['unit', 'air', 'airlin', 'passeng', 'delta', 'traffic', 'line', 'sue', 'control', 'airport']",310
584,2019-04-16,2019-04-22,"['airport', 'intern', 'set', 'passeng', 'american', 'jet', 'use', 'number', 'record', 'ontario']",310
585,2019-05-14,2019-05-20,"['award', 'air', 'airport', 'passeng', 'unit', 'flight', 'bonus', 'card', 'explor', 'seat']",310
601,2018-11-13,2018-11-19,"['point', 'australia', 'chase', 'mysteri', 'card', 'help', 'secretari', 'girl', 'roundtrip', 'sister']",322
602,2019-01-22,2019-01-28,"['chase', 'card', 'credit', 'earn', 'point', 'ultim', 'reward', 'unit', 'airlin', 'issu']",322
603,2019-01-29,2019-02-04,"['roundtrip', 'unit', 'australia', 'airlin', 'complain', 'video', 'sydney', 'passeng', 'card', 'credit']",322
611,2018-11-20,2018-11-26,"['travel', 'loyalti', 'unit', 'card', 'chase', 'busi', 'fare', 'airlin', 'way', 'lax']",327
612,2019-01-15,2019-01-21,"['card', 'chase', 'travel', 'busi', 'credit', 'face', 'shutdown', 'industri', 'march', 'news']",327
613,2019-05-07,2019-05-13,"['airlin', 'travel', 'card', 'busi', 'trump', 'best', 'credit', 'unit', 'tax', 'loss']",327
619,2018-11-27,2018-12-03,"['unit', 'airlin', 'flight', 'denver', 'nonstop', 'announc', 'air', 'start', 'chicago', 'travel']",333
620,2018-12-04,2018-12-10,"['new', 'air', 'airport', 'york', 'laguardia', 'flight', 'open', 'loung', 'travel', 'nonstop']",333
621,2018-12-18,2018-12-24,"['airlin', 'unit', 'new', 'flight', 'chicago', 'fli', 'nonstop', 'york', 'air', 'offer']",333
636,2018-12-11,2018-12-17,"['mile', 'holiday', 'best', 'capit', 'airlin', 'shop', 'sweater', 'reindeer', 'airport', '46']",346
637,2019-01-01,2019-01-07,"['new', 'year', '2019', 'bonus', 'plan', 'shop', 'mile', 'beij', 'airport', 'earn']",346
638,2019-02-05,2019-02-11,"['airport', 'busiest', '2018', 'chicago', 'make', 'author', 'capit', 'list', 'mile', 'har']",346
651,2018-12-18,2018-12-24,"['new', 'flight', 'unit', 'airport', 'airlin', 'add', 'avoid', 'check', 'secur', 'amazon']",357
652,2019-02-26,2019-03-04,"['san', 'partner', 'amazon', 'airport', 'new', 'francisco', 'market', 'star', 'face', 'flight']",357
653,2019-05-21,2019-05-27,"['airport', 'chicago', 'lightfoot', 'secur', 'mayor', 'lori', 'intern', 'boe', 'nation', 'new']",357
654,2019-06-11,2019-06-17,"['flight', 'ground', 'incid', 'secur', 'check', 'firearm', 'francisco', 'hour', 'airport', 'san']",357
655,2019-06-18,2019-06-24,"['airlin', 'lufthansa', 'iranian', 'global', 'airspac', 'avoid', 'wilkesbarrescranton', 'add', 'airport', 'flight']",357
677,2019-01-15,2019-01-21,"['passeng', 'hour', 'unit', 'plane', 'flight', 'airlin', 'stick', 'strand', 'canadian', 'freez']",378
678,2019-01-22,2019-01-28,"['unit', 'airlin', 'strand', 'passeng', 'hour', 'freez', '16', 'door', '30c', 'flight']",378
679,2019-02-05,2019-02-11,"['airlin', 'unit', 'passeng', 'flight', 'expedia', '16', 'hour', 'sue', 'airport', 'strand']",378
686,2019-01-15,2019-01-21,"['plane', 'chicago', 'airport', 'skid', 'say', 'offici', 'runway', 'har', 'wgn', 'tv']",384
687,2019-01-29,2019-02-04,"['airport', 'busiest', 'year', 'chicago', 'har', 'intern', 'citi', 'faa', 'point', 'thankyou']",384
688,2019-02-05,2019-02-11,"['airport', 'busiest', '2018', 'chicago', 'make', 'author', 'capit', 'list', 'mile', 'har']",384
723,2019-02-19,2019-02-25,"['news', 'fox', 'dead', 'texa', 'kill', 'airasia', 'serv', 'launch', 'air', 'restaur']",415
724,2019-02-26,2019-03-04,"['news', 'fox', 'dead', 'trump', 'situat', 'hostag', 'experi', 'ocasiocortez', 'claim', 'gop']",415
725,2019-03-19,2019-03-25,"['flight', 'year', 'unit', 'fox', 'pilot', 'news', 'air', 'attend', 'assault', 'plane']",415
726,2019-03-19,2019-03-25,"['news', 'fox', 'arrest', 'los', 'angel', 'flight', 'truck', 'woman', 'alleg', 'texa']",415
744,2019-03-05,2019-03-11,"['airlin', 'travel', 'experi', 'thing', 'busi', 'new', 'american', '2019', 'share', 'best']",431
745,2019-03-26,2019-04-01,"['propos', 'unit', 'card', 'airlin', 'travel', 'credit', 'best', '2019', 'mile', 'special']",431
746,2019-04-02,2019-04-08,"['class', 'busi', 'north', 'new', 'canada', 'air', 'america', 'american', 'advertis', 'featur']",431
747,2019-04-09,2019-04-15,"['airlin', 'max', 'plan', 'unit', 'american', 'travel', '737', 'new', 'ground', 'servic']",431
748,2019-04-23,2019-04-29,"['unit', 'airlin', 'flight', 'new', 'american', 'travel', 'upbeat', 'daili', 'busi', 'cut']",431
749,2019-04-30,2019-05-06,"['unit', 'airlin', 'flight', 'new', 'help', 'announc', 'add', 'busi', 'save', 'travel']",431
750,2019-05-07,2019-05-13,"['airport', 'airlin', '2019', 'air', 'worst', 'rank', 'order', 'indigo', 'travel', 'best']",431
751,2019-05-07,2019-05-13,"['airlin', 'travel', 'card', 'busi', 'trump', 'best', 'credit', 'unit', 'tax', 'loss']",431
752,2019-05-14,2019-05-20,"['2019', 'airlin', 'san', 'francisco', 'flight', 'travel', 'report', 'revenu', 'asset', 'new']",431
753,2019-05-21,2019-05-27,"['travel', 'best', 'roundtrip', 'san', 'action', 'american', 'crash', 'card', 'credit', 'mile']",431
754,2019-05-21,2019-05-27,"['american', 'music', 'sport', 'fee', 'equip', 'travel', 'baggag', 'video', 'busi', 'cut']",431
755,2019-05-28,2019-06-03,"['new', 'rout', 'town', 'american', 'airlin', '2019', 'cape', 'south', 'target', 'aviat']",431
756,2019-05-28,2019-06-03,"['airlin', 'unit', 'new', 'travel', 'come', 'flight', 'order', 'survey', 'american', 'satisfact']",431
776,2019-04-02,2019-04-08,"['airlin', 'unit', 'servic', 'card', 'credit', 'best', 'video', 'new', 'llc', '30']",449
777,2019-05-07,2019-05-13,"['airlin', 'travel', 'card', 'busi', 'trump', 'best', 'credit', 'unit', 'tax', 'loss']",449
778,2019-05-21,2019-05-27,"['travel', 'best', 'roundtrip', 'san', 'action', 'american', 'crash', 'card', 'credit', 'mile']",449
779,2019-06-04,2019-06-10,"['1000', 'best', 'reward', 'card', 'offer', 'busi', 'small', 'credit', 'corpor', 'insid']",449
784,2019-04-09,2019-04-15,"['flight', 'unit', 'cape', 'nonstop', 'town', 'new', 'airlin', 'africa', 'airport', 'servic']",454
785,2019-04-16,2019-04-22,"['unit', 'airlin', 'town', 'cape', 'new', 'flight', 'nonstop', 'launch', 'rout', 'south']",454
786,2019-04-30,2019-05-06,"['new', 'flight', 'york', 'nonstop', 'airport', 'daili', 'airway', 'boe', 'unit', 'airlin']",454
787,2019-05-07,2019-05-13,"['new', 'unit', 'airlin', 'begin', 'airport', 'launch', 'servic', 'flight', 'counti', 'newark']",454
788,2019-05-28,2019-06-03,"['new', 'rout', 'town', 'american', 'airlin', '2019', 'cape', 'south', 'target', 'aviat']",454
794,2019-04-16,2019-04-22,"['unit', 'airlin', 'best', 'fli', 'max', 'boe', 'crash', 'want', 'coliseum', 'vs']",459
795,2019-04-23,2019-04-29,"['max', '737', 'boe', 'flight', 'ground', 'airlin', 'hit', 'american', 'fli', 'new']",459
796,2019-05-14,2019-05-20,"['max', 'boe', '737', 'crash', 'faa', 'jet', 'ground', 'chief', 'airlin', 'grind']",459
797,2019-05-21,2019-05-27,"['max', '737', 'airlin', 'boe', 'unit', 'flight', 'travel', 'fli', 'kill', 'ceo']",459
798,2019-05-28,2019-06-03,"['unit', 'boe', '737', 'max', 'airlin', 'engin', 'flight', 'honolulu', 'plane', 'want']",459
799,2019-06-18,2019-06-24,"['max', 'boe', '737', 'pilot', 'american', 'carrier', 'offici', 'second', 'crash', 'assess']",459
